INSPECCION,MATRICULA,F.MATRIC.,MARCA Y MODELO,BASTIDOR,GRUP,TIP,F,F.INSPEC.,L,I.1,M.1,I.2,M.2,I.3,M.3,I.4,M.4,RESUL.,F.VALIDEZ,DEFEC.
160839784/2016,8794-CGG,28/03/2003,VOLKSWAGEN PASSAT,WVWZZZ3BZ3P357097,1000,001,1,02/08/2016,1,002,14,001,12,008,17,006,22,FAVOR.,02/08/2017,['']
160839785/2016,8828-BJW,30/05/2001,CITROEN JUMPY HDI,VF7BARHXA12825530,3100,002,2,02/08/2016,1,003,999,,,,,,,FAVOR.,02/02/2017,['']
160839786/2016,4366-FLV,28/02/2007,TATA GRAND SAFARI DICOR,MAT4030766NL01653,2400,002,2,02/08/2016,1,003,999,,,,,,,FAVOR.,02/08/2017,['']
160839787/2016,1004-GWW,28/02/2007,BMW 530D,WBANR71060CX97532,1000,001,1,02/08/2016,1,003,14,001,12,008,17,006,22,FAVOR.,28/02/2018,['']
160839788/2016,3839-FDD,21/07/2006,SSANGYONG KYRON,KPTS0A1KS6P030774,1000,001,1,02/08/2016,1,003,14,001,12,008,17,006,22,FAVOR.,02/08/2017,['']
160839789/2016,TO-3192-Y,18/12/1996,HYUNDAI ACCENT 4P,KMHVF31LPTU272460,1000,002,2,02/08/2016,1,003,999,,,,,,,FAVOR.,02/08/2017,['']
160839790/2016,5296-CYF,09/08/2002,MERCEDES-BENZ E270 CDI,WDB2110161A095868,1000,001,1,02/08/2016,1,003,14,001,12,008,17,006,22,FAVOR.,02/08/2017,['']
160839791/2016,M-5750-ZV,08/08/2000,CITROEN SAXO 1.4I,VF7S0KFWB57300246,1000,001,1,02/08/2016,1,003,14,001,12,008,17,006,22,DF.LEV,02/08/2017,['0601-L']
160839792/2016,6677-BXS,04/07/2002,CITROEN C5 2.0HDI,VF7DCRHZB76295912,1000,001,1,02/08/2016,1,002,14,001,12,008,17,006,22,FAVOR.,02/08/2017,['']
160839793/2016,0611-GKC,28/05/1999,SEAT TOLEDO,VSSZZZ1MZXB020421,1000,001,1,02/08/2016,1,003,14,001,12,008,17,006,22,DESFA.,00/00/0000,"['0403-G', '0405-L']"
160839794/2016,5589-BNF,27/09/2001,FIAT PUNTO,ZFA18800002194475,1000,001,1,02/08/2016,1,003,14,001,12,008,17,006,22,FAVOR.,02/08/2017,['']
160839795/2016,TO-4530-AG,28/07/2000,PEUGEOT 406 SRDT HDI 90,VF38BRHYE81136097,1000,002,2,02/08/2016,2,002,999,,,,,,,FAVOR.,02/08/2017,['']
160839796/2016,0962-CTG,18/03/2004,KIA PREGIO,KNETB24224K146093,2423,001,1,02/08/2016,1,003,14,001,12,008,17,006,22,DF.LEV,02/02/2017,['0205-L']
160839797/2016,6532-CTM,26/03/2004,FORD MONDEO,WF05XXGBB54R25377,1000,001,1,02/08/2016,1,003,14,001,12,008,17,006,22,DF.LEV,02/08/2017,"['0202-L', '0205-L', '0408-L']"
160839798/2016,M-7539-TP,14/06/1996,MAZDA 323,JMZBA12P200155959,1000,001,1,02/08/2016,1,003,14,001,12,008,17,006,22,DF.LEV,02/08/2017,"['0601-L', '0605-L']"
160839799/2016,2181-HLY,10/08/2012,CITROEN C4,VF7UA9HR8CJ682056,1000,001,1,02/08/2016,1,003,14,001,12,008,17,006,22,FAVOR.,02/08/2018,['']
160839800/2016,7332-CLW,04/09/2003,SKODA OCTAVIA,TMBCP41U232808019,1000,001,1,02/08/2016,1,003,14,001,12,008,17,006,22,DF.LEV,02/08/2017,"['0202-L', '0205-L', '0205-L', '0209-L', '0405-L', '0605-L']"
160839801/2016,9929-CSG,18/02/2004,FORD MONDEO,WF05XXGBB54B14014,1000,001,1,02/08/2016,1,003,14,001,12,008,17,006,22,FAVOR.,02/08/2017,['']
160839802/2016,7137-CYS,28/07/2004,BMW SERIE 5 520I A,WBANA31050B912238,1000,001,1,02/08/2016,1,003,14,001,12,008,17,006,22,FAVOR.,02/08/2017,['']
160839803/2016,1613-FDR,01/08/2006,VOLKSWAGEN PASSAT 2.0 TD,WVWZZZ3CZ7P026723,1000,001,1,02/08/2016,1,003,14,001,12,008,17,006,22,FAVOR.,02/08/2017,['']
160839804/2016,6080-GGX,03/07/1997,AUDI A3 1.9 TDI 5V,WAUZZZ8LZVA110959,1000,001,1,02/08/2016,1,003,14,001,12,008,17,006,22,DF.LEV,02/08/2017,"['0205-L', '0403-L']"
160839805/2016,TO-5897-T,24/07/1992,RENAULT 19 1.4,VF1B5370508552375,1000,001,1,02/08/2016,1,003,14,001,12,008,17,006,22,DF.LEV,02/08/2017,['0601-L']
160839806/2016,9120-CPM,12/12/2003,NISSAN PICK-UP 2.5T 4P,JN1CPUD22U0083044,2033,001,1,02/08/2016,1,003,14,001,12,008,17,006,22,DF.LEV,02/02/2017,['0202-L']
160839807/2016,5031-GTG,08/02/2010,VOLKSWAGEN GOLF,WVWZZZ1KZAW219788,1000,001,1,02/08/2016,1,003,14,001,12,008,17,006,22,FAVOR.,02/08/2018,['']
160839808/2016,9350-CMP,07/10/2003,BMW 320D,WBAAL71060CA55845,1000,001,1,02/08/2016,1,003,14,001,12,008,17,006,22,DF.LEV,02/08/2017,['0903-L']
160839809/2016,M89755,13/09/2012,MINI COOPER D,WMWZD310X0WM89755,1002,014,1,02/08/2016,1,002,14,002,12,002,17,002,22,DESFA.,00/00/0000,['1008-G']
160839810/2016,0248-CDM,22/01/2003,CITROEN BERLINGO,VF7GJWJYB93022681,3100,001,1,02/08/2016,1,003,14,001,12,008,17,006,22,FAVOR.,02/02/2017,['']
160839811/2016,0810-DHV,28/03/2005,CITROEN C8,VF7EB4HWG13211688,1000,001,1,02/08/2016,1,003,14,001,12,008,17,006,22,DF.LEV,02/08/2017,['0407-L']
160839812/2016,3415-DWB,07/02/2006,KEEWAY SUPERLIGHT 125,TSYPEJ2G15B004127,0400,001,1,02/08/2016,1,003,14,001,18,003,13,,,FAVOR.,02/08/2018,['']
160839813/2016,8269-CKB,01/07/2003,CHRYSLER VOYAGER,1C8GYN2793Y554995,3100,002,2,02/08/2016,1,006,999,,,,,,,FAVOR.,02/02/2017,['']
160839814/2016,TO-1054-AD,10/06/1999,SEAT IBIZA,VSSZZZ6KZXR312309,1000,001,1,02/08/2016,1,003,14,001,12,008,17,006,22,FAVOR.,02/08/2017,['']
160839815/2016,TO-5247-AC,19/02/1999,FIAT MAREA 1.6 I.E.,ZFA18500000278990,1000,001,1,02/08/2016,1,003,14,001,12,008,17,006,22,DF.LEV,02/08/2017,['0903-L']
160839816/2016,4226-GYB,28/07/2010,FORD FIESTA,WF0JXXWPJJAJ08421,1000,001,1,02/08/2016,1,003,14,001,12,008,17,006,22,FAVOR.,02/08/2018,['']
160839817/2016,3699-FNV,26/04/2007,CITROEN BERLINGO,VF7GJ9HWC93437623,3100,002,2,02/08/2016,2,002,999,008,999,,,,,DESFA.,00/00/0000,['1006-G']
160839818/2016,M-6778-ZS,13/07/2000,CITROEN XSARA 16I SX,VF7N2NFZF36956294,1002,001,1,02/08/2016,1,003,14,001,12,008,17,006,22,DESFA.,00/00/0000,"['0501-G', '0903-G']"
160839819/2016,8039-DCB,27/10/2004,HYUNDAI SANTA FE,KMHSC81VP4U842314,1033,001,1,02/08/2016,1,003,14,001,12,008,17,006,22,FAVOR.,02/08/2017,['']
160839820/2016,TO-8631-AF,19/04/2000,OPEL VECTRA-B-CC,W0L0JBF68Y7056547,1000,001,1,02/08/2016,1,003,14,006,12,008,17,008,22,FAVOR.,02/08/2017,['']
160839821/2016,TO-3800-K,20/08/1987,BMW R65,6118286,0400,001,1,02/08/2016,1,003,14,001,18,003,13,,,FAVOR.,02/08/2018,['']
160839822/2016,4587-CXY,07/07/2004,JEEP GRAND CHEROKEE,1J8G2E8A34Y152342,1033,001,1,02/08/2016,2,003,14,001,16,001,17,001,21,DF.LEV,02/08/2017,"['0405-L', '0406-L']"
160839823/2016,R-7210-BCC,09/08/2007,CANO MU\A5OZ CM1505,VS9R240157J21533,41,0 0,1,1 02/08/20,6,2 0,3,4 0,1,8,,,,FAVO,. 02/08/20,['7']
160839824/2016,7464-GYC,30/07/2010,FORD FIESTA,WF0JXXWPJJAS50090,1000,001,1,02/08/2016,1,002,14,006,12,008,17,006,22,FAVOR.,02/08/2018,['']
160839825/2016,6826-BJN,22/05/2001,CITROEN C-15 D,VF7VDWT0000WT5181,3100,001,1,02/08/2016,1,003,14,008,12,008,17,006,22,FAVOR.,02/02/2017,['']
